,催化剂组合编号,催化剂组合,温度,乙醇转化率(%),乙烯选择性（%）,C4烯烃选择性(%),乙醛选择性(%),碳数为4-12脂肪醇         选择性(%),甲基苯甲醛和甲基苯甲醇选择性(%),其他生成物的选择性(%),Unnamed: 10
0,A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,2.06716944958221,1.17,34.05,2.41,52.59,0.0,9.78,
1,,,275,5.8517209865374,1.63,37.43,1.42,53.21,0.0,6.31,
2,,,300,14.9688914921879,3.02,46.94,4.71,35.16,1.0,9.17,
3,,,325,19.6813590966625,7.97,49.7,14.69,15.16,2.13,10.35,
4,,,350,36.801016971268,12.46,47.21,18.66,9.22,1.69,10.76,
5,A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,4.60299723489029,0.61,18.07,0.94,72.99,0.0,7.39,
6,,,275,17.1955389078373,0.51,17.28,1.43,72.62,0.0,8.16,
7,,,300,38.9222453049932,0.85,19.6,2.21,67.5,0.0,9.84,
8,,,325,56.3824602331247,1.43,30.62,3.79,51.21,0.0,12.95,
9,,,350,67.8792957456246,2.76,39.1,4.2,36.92,1.87,15.15,
10,A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,250,9.6693729570379,0.13,5.5,1.23,85.09,3.97,4.08,
11,,,275,19.2369353731673,0.33,8.04,1.71,82.07,2.88,4.97,
12,,,300,29.2502335391358,0.71,17.01,3.63,66.9,3.18,8.57,
13,,,325,37.5791851341654,1.83,28.72,5.72,49.77,3.44,10.52,
14,,,350,48.9370446484212,2.85,36.85,7.23,38.29,3.51,11.27,
15,,,400,83.7133815760754,6.76,53.43,8.95,14.37,3.38,13.11,
16,,,450,86.4097027402944,14.84,49.9,8.39,12.41,2.09,12.37,
17,A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,4.0193913236899,0.27,9.62,1.49,79.51,6.53,2.58,
18,,,275,12.0977578656973,0.36,8.62,1.66,81.44,5.18,2.74,
19,,,300,29.4765641102885,0.54,10.72,2.41,76.32,5.88,4.13,
20,,,325,43.3256219763485,1.02,18.89,4.42,59.65,7.64,8.38,
21,,,350,60.4684283526454,2.23,27.25,6.8,45.0,8.73,9.99,
22,,,400,88.4393444439815,3.67,41.02,10.82,16.47,10.51,17.51,
23,A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,250,14.7871833611187,0.14,1.96,3.27,88.42,3.36,2.85,
24,,,275,12.4240108083889,0.19,6.65,11.27,70.05,5.77,6.07,
25,,,300,20.8085764699292,0.74,10.12,13.18,62.45,5.66,7.85,
